consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
He was the first person who supposed that,1,0.476,1,false,"","",true,1,1,1,573.5298058582462,2494.569559592831,656.7921946705444,631.789479896508
elastic fluid existed different from the,2,0.476,1,false,"","",true,1,1,1,531.1096154935694,2615.2709769409453,873.0884072066627,850.0988980378085
Air of the Atmosphere and [underline]from him[/underline],3,0.476,1,true,"",deehar,true,1,1,1,521.3163443561027,2576.9681167494473,1039.3791901947081,1067.057520160148
we derive the modern [underline]chemical[/underline] name [underline]of Gas[/underline],4,0.476,1.625,true,"",deehar,false,1,1,2,537.1730391407377,2610.981536779942,1205.4302231501993,1250.278487092057
He likewise invented another denomination,5,0.476,1.8,true,Nomad Purple,deehar,false,1,1,2,572.5688689100108,2642.8766264537767,1395.9409708862024,1411.3592174330547
[underline]Blas[/underline] which is not quite so intelligible -,6,0.476,1,false,"","",true,1,1,1,542.6775571392707,2642.5207764098773,1573.347857912338,1591.4277103155102
He considered it as of a much finer,7,0.476,1,false,"","",true,1,1,1,571.088614427118,2608.9441610169633,1787.7231303487874,1808.385717467222
nature than Air; and as being derived,8,0.476,2.625,true,Yuffiemog,deehar,false,1,1,3,562.6367558505883,2603.8341137711836,1986.601240760056,2012.1126227171685
by the Earth and from the sun and stars -,9,0.476,1.7777777777777777,true,"",deehar,false,1,1,2,546.4677867697621,2572.9034815940176,2214.589962720822,2251.793550502078
Van Helmont made some very laborious,10,0.476,1,false,"","",true,1,1,1,596.0647202130272,2557.9140998281428,2430.854950803573,2513.604195388189
experiments to prove that water was,11,0.476,1,false,"","",true,1,1,1,611.7807123567072,2626.63584729278,2714.119473664331,2702.170124265831
capable of being converted into [underline]Earth[/underline],12,0.476,2,false,"","",false,1,1,2,556.4872447696205,2591.8186518052958,2887.0643343785605,2881.500663227151
and He [underline]revived [/underline]the the doctrine of,13,0.476,2.142857142857143,false,"","",false,1,1,3,562.3315913255583,2523.8723794392695,3066.6690318676156,3064.0862084778114
Thales that it was the general productive,14,0.476,1,false,"","",true,1,1,1,573.6714378169222,2681.263393280568,3239.7189083808407,3255.2158487196666
principle.-,15,0.476,1,true,"",deehar,true,1,1,1,722.9096617627617,1226.4578431002246,3321.562052652452,3330.14740042681
